country,Channel,average_score
Albania,Reading,5.26
United Arab Emirates,Reading,6.41
Argentina,Reading,5.46
Australia,Reading,8.17
Austria,Reading,7.96
Belgium,Reading,8.35
Bulgaria,Reading,6.59
Brazil,Reading,5.24
Canada,Reading,8.50
Switzerland,Reading,8.11
Chile,Reading,6.99
Colombia,Reading,5.60
Costa Rica,Reading,6.31
Czech Republic,Reading,8.55
Germany,Reading,8.32
Denmark,Reading,7.76
Spain,Reading,8.03
Estonia,Reading,8.67
Finland,Reading,7.88
France,Reading,8.40
United Kingdom,Reading,8.18
Greece,Reading,7.43
Hong Kong-China,Reading,9.16
Croatia,Reading,7.76
Hungary,Reading,8.03
Indonesia,Reading,5.14
Ireland,Reading,8.82
Iceland,Reading,7.26
Israel,Reading,7.67
Italy,Reading,8.05
Jordan,Reading,5.26
Japan,Reading,9.18
Kazakhstan,Reading,5.16
Korea,Reading,9.27
Liechtenstein,Reading,8.73
Lithuania,Reading,7.59
Luxembourg,Reading,7.81
Latvia,Reading,8.11
Macao-China,Reading,8.52
Mexico,Reading,6.12
Montenegro,Reading,5.90
Malaysia,Reading,5.35
Netherlands,Reading,8.31
Norway,Reading,8.27
New Zealand,Reading,8.66
Peru,Reading,4.85
Poland,Reading,8.77
Portugal,Reading,7.80
Qatar,Reading,5.11
China-Shanghai,Reading,10.06
Perm(Russian Federation),Reading,7.75
Florida (USA),Reading,8.01
Connecticut (USA),Reading,8.78
Massachusetts (USA),Reading,8.82
Romania,Reading,6.38
Russian Federation,Reading,7.40
Singapore,Reading,9.09
Serbia,Reading,6.61
Slovak Republic,Reading,7.28
Slovenia,Reading,7.16
Sweden,Reading,7.73
Chinese Taipei,Reading,8.85
Thailand,Reading,6.83
Tunisia,Reading,5.40
Turkey,Reading,7.55
Uruguay,Reading,5.67
United States of America,Reading,8.16
Vietnam,Reading,8.33
